From	To	Species	Gene Name
ENSTGUG00000006129	100220330	Taeniopygia guttata	sirtuin 5(SIRT5)
ENSTGUG00000006128	100221860	Taeniopygia guttata	proteasome 26S subunit, non-ATPase 9(PSMD9)
ENSTGUG00000006126	100230586	Taeniopygia guttata	MKKS centrosomal shuttling protein(MKKS)
ENSTGUG00000008788	100223594	Taeniopygia guttata	eukaryotic translation initiation factor 2 alpha kinase 2(EIF2AK2)
ENSTGUG00000008789	100218083	Taeniopygia guttata	otogelin(OTOG)
ENSTGUG00000007458	100221912	Taeniopygia guttata	collagen type XX alpha 1 chain(COL20A1)
ENSTGUG00000007459	100231648	Taeniopygia guttata	fibulin 7(FBLN7)
ENSTGUG00000006132	100226116	Taeniopygia guttata	mediator complex subunit 18(MED18)
ENSTGUG00000007464	100218663	Taeniopygia guttata	diacylglycerol kinase delta(DGKD)
ENSTGUG00000006131	100190536	Taeniopygia guttata	dynactin subunit 5(DCTN5)
ENSTGUG00000008797	100222776	Taeniopygia guttata	RAB20, member RAS oncogene family(RAB20)
ENSTGUG00000007466	100222227	Taeniopygia guttata	importin 13(IPO13)
ENSTGUG00000008798	100228491	Taeniopygia guttata	WAS/WASL interacting protein family member 1(WIPF1)
ENSTGUG00000008791	105760926	Taeniopygia guttata	serpin family D member 1(SERPIND1)
ENSTGUG00000007460	100222238	Taeniopygia guttata	exocyst complex component 1(EXOC1)
ENSTGUG00000006135	100223133	Taeniopygia guttata	ceramide transporter 1(CERT1)
ENSTGUG00000007461	100229083	Taeniopygia guttata	interleukin 13 receptor subunit alpha 2(IL13RA2)
ENSTGUG00000006134	100221501	Taeniopygia guttata	FERM, ARH/RhoGEF and pleckstrin domain protein 2(FARP2)
ENSTGUG00000008793	100226700	Taeniopygia guttata	ubiquitin conjugating enzyme E2 K(UBE2K)
ENSTGUG00000006133	751982	Taeniopygia guttata	synaptosome associated protein 25(SNAP25)
ENSTGUG00000008794	100222533	Taeniopygia guttata	N-acetylneuraminic acid phosphatase(NANP)
ENSTGUG00000007463	100223089	Taeniopygia guttata	abhydrolase domain containing 6, acylglycerol lipase(ABHD6)
ENSTGUG00000018107	115498299	Taeniopygia guttata	small nucleolar RNA SNORA73 family(LOC115498299)
ENSTGUG00000018108	115497599	Taeniopygia guttata	small nucleolar RNA SNORD90(LOC115497599)
ENSTGUG00000008790	100222671	Taeniopygia guttata	cerebellar degeneration related protein 2 like(CDR2L)
ENSTGUG00000006159	100222002	Taeniopygia guttata	tubulin monoglycylase TTLL3-like(LOC100222002)
ENSTGUG00000007497	100223003	Taeniopygia guttata	GTPase activating Rap/RanGAP domain like 3(GARNL3)
ENSTGUG00000006164	100223940	Taeniopygia guttata	sorting nexin family member 21(SNX21)
ENSTGUG00000006163	100219020	Taeniopygia guttata	ankyrin repeat and EF-hand domain containing 1(ANKEF1)
ENSTGUG00000006169	100223232	Taeniopygia guttata	amine oxidase [flavin-containing] B(LOC100223232)
ENSTGUG00000006168	100224572	Taeniopygia guttata	putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13(LOC100224572)
ENSTGUG00000006167	100222200	Taeniopygia guttata	methionine adenosyltransferase 1A(MAT1A)
ENSTGUG00000007496	100232806	Taeniopygia guttata	ubiquitin specific peptidase 50(USP50)
ENSTGUG00000007490	100229779	Taeniopygia guttata	NCK interacting protein with SH3 domain(NCKIPSD)
ENSTGUG00000007491	100218352	Taeniopygia guttata	nuclear factor kappa B subunit 2(NFKB2)
ENSTGUG00000007492	101233795	Taeniopygia guttata	neuromedin U(NMU)
ENSTGUG00000006161	100219391	Taeniopygia guttata	chloride voltage-gated channel 3(CLCN3)
ENSTGUG00000006160	100230082	Taeniopygia guttata	septin 2(SEPTIN2)
ENSTGUG00000018133	100221946	Taeniopygia guttata	acyl-coenzyme A thioesterase 5-like(LOC100221946)
ENSTGUG00000018134	100230690	Taeniopygia guttata	probable G-protein coupled receptor 19(LOC100230690)
ENSTGUG00000006149	100190013	Taeniopygia guttata	protein phosphatase 1 catalytic subunit alpha(PPP1CA)
ENSTGUG00000006148	100228320	Taeniopygia guttata	cell division cycle 7(CDC7)
ENSTGUG00000006154	100231892	Taeniopygia guttata	solute carrier family 38 member 4(SLC38A4)
ENSTGUG00000006153	100225516	Taeniopygia guttata	aquaporin 9(AQP9)
ENSTGUG00000007487	100219051	Taeniopygia guttata	NSF attachment protein beta(NAPB)
ENSTGUG00000006152	100226822	Taeniopygia guttata	acyl-CoA thioesterase 8(ACOT8)
ENSTGUG00000007488	100230008	Taeniopygia guttata	SMG8 nonsense mediated mRNA decay factor(SMG8)
ENSTGUG00000007489	100223170	Taeniopygia guttata	dehydrogenase/reductase 7B(DHRS7B)
ENSTGUG00000006158	100222757	Taeniopygia guttata	MLX interacting protein(MLXIP)
ENSTGUG00000006157	101233309	Taeniopygia guttata	acid sensing ion channel subunit family member 4(ASIC4)
ENSTGUG00000007483	100223864	Taeniopygia guttata	protein farnesyltransferase subunit beta(LOC100223864)
ENSTGUG00000007484	100223074	Taeniopygia guttata	F-box and WD repeat domain containing 2(FBXW2)
ENSTGUG00000006155	100225637	Taeniopygia guttata	BAF chromatin remodeling complex subunit BCL7A(BCL7A)
ENSTGUG00000007485	100217541	Taeniopygia guttata	proline rich 11(PRR11)
ENSTGUG00000018128	100224060	Taeniopygia guttata	leucine rich repeat containing 23(LRRC23)
ENSTGUG00000007481	100227893	Taeniopygia guttata	inositol hexakisphosphate kinase 2(IP6K2)
ENSTGUG00000006150	115495947	Taeniopygia guttata	rac GTPase-activating protein 1(LOC115495947)
ENSTGUG00000003904	100221136	Taeniopygia guttata	casein kinase 1 delta(CSNK1D)
ENSTGUG00000003902	100221575	Taeniopygia guttata	ectonucleoside triphosphate diphosphohydrolase 3(ENTPD3)
ENSTGUG00000018169	100230729	Taeniopygia guttata	G protein-coupled receptor 162(GPR162)
ENSTGUG00000003907	100219711	Taeniopygia guttata	Suv3 like RNA helicase(SUPV3L1)
ENSTGUG00000003908	100230589	Taeniopygia guttata	protein kinase C epsilon(PRKCE)
ENSTGUG00000018160	100223041	Taeniopygia guttata	solute carrier family 17 member 5(SLC17A5)
ENSTGUG00000006187	100221150	Taeniopygia guttata	SEC16 homolog A, endoplasmic reticulum export factor(SEC16A)
ENSTGUG00000006186	105758508	Taeniopygia guttata	TLC domain containing 1(TLCD1)
ENSTGUG00000006185	100220672	Taeniopygia guttata	RB binding protein 6, ubiquitin ligase(RBBP6)
ENSTGUG00000006189	100227273	Taeniopygia guttata	high density lipoprotein binding protein(HDLBP)
ENSTGUG00000006188	100219692	Taeniopygia guttata	zinc finger protein 644(ZNF644)
ENSTGUG00000003909	100230655	Taeniopygia guttata	acyl-CoA dehydrogenase family member 9(ACAD9)
ENSTGUG00000006183	101233754	Taeniopygia guttata	deoxynucleotidyltransferase terminal interacting protein 1(DNTTIP1)
ENSTGUG00000006182	100224879	Taeniopygia guttata	p21 (RAC1) activated kinase 5(PAK5)
ENSTGUG00000006181	100190646	Taeniopygia guttata	diablo IAP-binding mitochondrial protein(DIABLO)
ENSTGUG00000006180	752002	Taeniopygia guttata	doublecortin(DCX)
ENSTGUG00000018154	100232376	Taeniopygia guttata	membrane integral NOTCH2 associated receptor 2(MINAR2)
ENSTGUG00000018159	100231686	Taeniopygia guttata	phosphate cytidylyltransferase 2, ethanolamine(PCYT2)
ENSTGUG00000006176	100228545	Taeniopygia guttata	fucose kinase(FCSK)
ENSTGUG00000006175	100228630	Taeniopygia guttata	D-beta-hydroxybutyrate dehydrogenase, mitochondrial-like(LOC100228630)
ENSTGUG00000006173	100232382	Taeniopygia guttata	leucine rich repeat containing 43(LRRC43)
ENSTGUG00000006179	100226631	Taeniopygia guttata	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4(B3GNT4)
ENSTGUG00000006178	751771	Taeniopygia guttata	aldehyde dehydrogenase 1 family member A2(ALDH1A2)
ENSTGUG00000006177	100227024	Taeniopygia guttata	DNA polymerase kappa(POLK)
ENSTGUG00000006172	100222554	Taeniopygia guttata	helicase for meiosis 1(HFM1)
ENSTGUG00000006171	100221015	Taeniopygia guttata	troponin C2, fast skeletal type(TNNC2)
ENSTGUG00000006170	100190675	Taeniopygia guttata	ribosomal protein L23a(RPL23A)
ENSTGUG00000003925	105759399	Taeniopygia guttata	protein mono-ADP-ribosyltransferase PARP14(LOC105759399)
ENSTGUG00000003926	100225463	Taeniopygia guttata	nucleotide binding oligomerization domain containing 1(NOD1)
ENSTGUG00000003923	100226215	Taeniopygia guttata	MYB binding protein 1a(MYBBP1A)
ENSTGUG00000003924	100226114	Taeniopygia guttata	arginine-glutamic acid dipeptide repeats(RERE)
ENSTGUG00000003929	115498203	Taeniopygia guttata	ANTXR cell adhesion molecule 1(ANTXR1)
ENSTGUG00000018189	100224071	Taeniopygia guttata	ovostatin(LOC100224071)
ENSTGUG00000003927	100221268	Taeniopygia guttata	secretory carrier membrane protein 2(SCAMP2)
ENSTGUG00000003928	100220929	Taeniopygia guttata	SMG7 nonsense mediated mRNA decay factor(SMG7)
ENSTGUG00000018183	100228865	Taeniopygia guttata	carbonic anhydrase 3(LOC100228865)
ENSTGUG00000003921	100219240	Taeniopygia guttata	ATPase phospholipid transporting 8B2(ATP8B2)
ENSTGUG00000003920	100222710	Taeniopygia guttata	poly(ADP-ribose) polymerase family member 9(PARP9)
ENSTGUG00000015903	100223012	Taeniopygia guttata	inhibin subunit beta C(LOC100223012)
ENSTGUG00000003914	101233760	Taeniopygia guttata	interleukin 17 receptor E like(IL17REL)
ENSTGUG00000003915	100227419	Taeniopygia guttata	aminoacyl tRNA synthetase complex interacting multifunctional protein 1(AIMP1)
ENSTGUG00000003912	115496604	Taeniopygia guttata	mannose phosphate isomerase(MPI)
ENSTGUG00000003913	100229354	Taeniopygia guttata	keratin, type II cytoskeletal 6B(LOC100229354)
ENSTGUG00000003913	100230278	Taeniopygia guttata	keratin, type II cytoskeletal 6A(LOC100230278)
ENSTGUG00000003918	100225170	Taeniopygia guttata	modulator of VRAC current 1(MLC1)
ENSTGUG00000003919	100227885	Taeniopygia guttata	HCLS1 associated protein X-1(HAX1)
ENSTGUG00000018179	115497876	Taeniopygia guttata	synaptonemal complex protein 2(SYCP2)
ENSTGUG00000003917	100190607	Taeniopygia guttata	gamma-glutamylcyclotransferase(GGCT)
ENSTGUG00000003910	100217658	Taeniopygia guttata	GLE1 RNA export mediator(GLE1)
ENSTGUG00000018173	101233002	Taeniopygia guttata	granulocyte-macrophage colony-stimulating factor receptor subunit alpha(LOC101233002)
ENSTGUG00000006197	100228867	Taeniopygia guttata	adhesion molecule with Ig like domain 2(AMIGO2)
ENSTGUG00000006196	100219347	Taeniopygia guttata	RasGEF domain family member 1A(RASGEF1A)
ENSTGUG00000006195	100220818	Taeniopygia guttata	VPS33A core subunit of CORVET and HOPS complexes(VPS33A)
ENSTGUG00000006199	100225589	Taeniopygia guttata	transmembrane protein 198(TMEM198)
ENSTGUG00000006190	100229959	Taeniopygia guttata	NIMA related kinase 8(NEK8)
ENSTGUG00000006193	100229447	Taeniopygia guttata	pulmonary surfactant-associated protein A(LOC100229447)
ENSTGUG00000006191	100225582	Taeniopygia guttata	chondroitin polymerizing factor(CHPF)
ENSTGUG00000008719	100231112	Taeniopygia guttata	thymopoietin(TMPO)
ENSTGUG00000008718	100217664	Taeniopygia guttata	programmed cell death 6(PDCD6)
ENSTGUG00000008712	100229519	Taeniopygia guttata	cholinergic receptor nicotinic alpha 9 subunit(CHRNA9)
ENSTGUG00000008713	100224504	Taeniopygia guttata	leucine rich repeat containing 28(LRRC28)
ENSTGUG00000008720	100218381	Taeniopygia guttata	lemur tyrosine kinase 2(LMTK2)
ENSTGUG00000008721	100219957	Taeniopygia guttata	NEDD4 binding protein 2(N4BP2)
ENSTGUG00000008704	100220639	Taeniopygia guttata	synemin(SYNM)
ENSTGUG00000008705	100232459	Taeniopygia guttata	RNA binding motif protein 47(RBM47)
ENSTGUG00000008706	100190343	Taeniopygia guttata	intraflagellar transport 20(IFT20)
ENSTGUG00000008700	100232416	Taeniopygia guttata	phosphatidylinositol 4-kinase alpha(PI4KA)
ENSTGUG00000008701	100232408	Taeniopygia guttata	phosphorylase kinase regulatory subunit beta(PHKB)
ENSTGUG00000008703	100225602	Taeniopygia guttata	nucleoporin 85(NUP85)
ENSTGUG00000008710	100225587	Taeniopygia guttata	Obg like ATPase 1(OLA1)
ENSTGUG00000013299	100223292	Taeniopygia guttata	BLK proto-oncogene, Src family tyrosine kinase(BLK)
ENSTGUG00000008737	100225229	Taeniopygia guttata	small G protein signaling modulator 2(SGSM2)
ENSTGUG00000007406	100225673	Taeniopygia guttata	AKT interacting protein(AKTIP)
ENSTGUG00000007407	100226017	Taeniopygia guttata	paired like homeodomain 3(PITX3)
ENSTGUG00000007409	100220194	Taeniopygia guttata	LIM homeobox transcription factor 1 beta(LMX1B)
ENSTGUG00000008733	100221569	Taeniopygia guttata	myocyte enhancer factor 2A(MEF2A)
ENSTGUG00000008734	100221179	Taeniopygia guttata	parvalbumin, thymic(LOC100221179)
ENSTGUG00000007403	100231607	Taeniopygia guttata	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3(TCIRG1)
ENSTGUG00000008735	100190277	Taeniopygia guttata	Jupiter microtubule associated homolog 1(JPT1)
ENSTGUG00000007404	100229498	Taeniopygia guttata	ANKH inorganic pyrophosphate transport regulator(ANKH)
ENSTGUG00000008736	115495956	Taeniopygia guttata	Sp5 transcription factor(SP5)
ENSTGUG00000007405	100218088	Taeniopygia guttata	tyrosine-protein kinase Srms(LOC100218088)
ENSTGUG00000008740	100231860	Taeniopygia guttata	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated(CCZ1)
ENSTGUG00000008741	100228394	Taeniopygia guttata	spermatogenesis associated 2(SPATA2)
ENSTGUG00000008742	100219848	Taeniopygia guttata	armadillo repeat containing 7(ARMC7)
ENSTGUG00000007411	100228014	Taeniopygia guttata	spermine synthase(SMS)
ENSTGUG00000007412	100222795	Taeniopygia guttata	nucleosome assembly protein 1 like 1(NAP1L1)
ENSTGUG00000008726	100223839	Taeniopygia guttata	PDS5 cohesin associated factor A(PDS5A)
ENSTGUG00000008728	100228346	Taeniopygia guttata	ring finger protein 114(RNF114)
ENSTGUG00000008722	100225331	Taeniopygia guttata	carbohydrate sulfotransferase 2(CHST2)
ENSTGUG00000008723	100219572	Taeniopygia guttata	solute carrier family 9 member A9(SLC9A9)
ENSTGUG00000008724	100231256	Taeniopygia guttata	snail family transcriptional repressor 1(SNAI1)
ENSTGUG00000008731	100224441	Taeniopygia guttata	aryl-hydrocarbon receptor repressor(AHRR)
ENSTGUG00000008732	100225425	Taeniopygia guttata	HEAT repeat containing 5B(HEATR5B)
ENSTGUG00000007401	100223734	Taeniopygia guttata	FTO alpha-ketoglutarate dependent dioxygenase(FTO)
ENSTGUG00000008759	100217760	Taeniopygia guttata	LysM domain containing 4(LYSMD4)
ENSTGUG00000007428	100228808	Taeniopygia guttata	Ral GEF with PH domain and SH3 binding motif 1(RALGPS1)
ENSTGUG00000007428	100228858	Taeniopygia guttata	uncharacterized LOC100228858(LOC100228858)
ENSTGUG00000007429	100232084	Taeniopygia guttata	S-antigen visual arrestin(SAG)
ENSTGUG00000007424	100231708	Taeniopygia guttata	zinc finger and BTB domain containing 34(ZBTB34)
ENSTGUG00000008756	105759164	Taeniopygia guttata	interleukin 17 receptor C(IL17RC)
ENSTGUG00000007425	100231183	Taeniopygia guttata	signal peptide peptidase like 2A(SPPL2A)
ENSTGUG00000007426	100230395	Taeniopygia guttata	RB transcriptional corepressor like 2(RBL2)
ENSTGUG00000008758	105759197	Taeniopygia guttata	cysteine rich with EGF like domains 1(CRELD1)
ENSTGUG00000007427	100232383	Taeniopygia guttata	OTU deubiquitinase with linear linkage specificity(OTULIN)
ENSTGUG00000007431	100221191	Taeniopygia guttata	membrane bound transcription factor peptidase, site 2(MBTPS2)
ENSTGUG00000008763	100230212	Taeniopygia guttata	ADAM metallopeptidase with thrombospondin type 1 motif 17(ADAMTS17)
ENSTGUG00000008764	100226585	Taeniopygia guttata	kelch domain containing 8B(KLHDC8B)
ENSTGUG00000007433	100227111	Taeniopygia guttata	aminoadipate-semialdehyde dehydrogenase(AASDH)
ENSTGUG00000008765	100229099	Taeniopygia guttata	testis expressed 10(TEX10)
ENSTGUG00000007434	100224829	Taeniopygia guttata	potassium voltage-gated channel subfamily Q member 2(KCNQ2)
ENSTGUG00000006103	100228029	Taeniopygia guttata	solute carrier family 38 member 1(SLC38A1)
ENSTGUG00000006102	100230833	Taeniopygia guttata	SH2 domain containing 4B(SH2D4B)
ENSTGUG00000006101	100225262	Taeniopygia guttata	SPT6 homolog, histone chaperone and transcription elongation factor(SUPT6H)
ENSTGUG00000008760	100232090	Taeniopygia guttata	divergent protein kinase domain 2A(DIPK2A)
ENSTGUG00000006100	100222250	Taeniopygia guttata	SH3 domain containing ring finger 1(SH3RF1)
ENSTGUG00000008761	100222477	Taeniopygia guttata	apoptotic peptidase activating factor 1(APAF1)
ENSTGUG00000007430	100225193	Taeniopygia guttata	tripartite motif containing 37(TRIM37)
ENSTGUG00000008748	100220932	Taeniopygia guttata	USH1 protein network component harmonin(USH1C)
ENSTGUG00000007417	100224169	Taeniopygia guttata	lysine demethylase 4A(KDM4A)
ENSTGUG00000008749	100222576	Taeniopygia guttata	solute carrier family 9 member A8(SLC9A8)
ENSTGUG00000007418	100227719	Taeniopygia guttata	pancreatic progenitor cell differentiation and proliferation factor(PPDPF)
ENSTGUG00000007419	100231502	Taeniopygia guttata	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)
ENSTGUG00000008744	105759163	Taeniopygia guttata	RNA pseudouridine synthase D3(RPUSD3)
ENSTGUG00000007413	100220341	Taeniopygia guttata	phosphoribosyl pyrophosphate amidotransferase(PPAT)
ENSTGUG00000008745	100221656	Taeniopygia guttata	solute carrier family 16 member 5(SLC16A5)
ENSTGUG00000007414	100227027	Taeniopygia guttata	golgi brefeldin A resistant guanine nucleotide exchange factor 1(GBF1)
ENSTGUG00000008746	100219832	Taeniopygia guttata	corepressor interacting with RBPJ, CIR1(CIR1)
ENSTGUG00000007415	100225078	Taeniopygia guttata	folliculin(FLCN)
ENSTGUG00000008751	100190532	Taeniopygia guttata	jagunal homolog 1(JAGN1)
ENSTGUG00000007420	100219161	Taeniopygia guttata	MER proto-oncogene, tyrosine kinase(MERTK)
ENSTGUG00000008752	100232023	Taeniopygia guttata	Myb/SANT DNA binding domain containing 3(MSANTD3)
ENSTGUG00000007421	100229434	Taeniopygia guttata	glycolipid transfer protein(GLTP)
ENSTGUG00000008753	100228270	Taeniopygia guttata	uncharacterized LOC100228270(LOC100228270)
ENSTGUG00000008754	100217996	Taeniopygia guttata	integrin alpha FG-GAP repeat containing 1(ITFG1)
ENSTGUG00000007423	100231812	Taeniopygia guttata	myosin phosphatase Rho interacting protein(MPRIP)
ENSTGUG00000018101	100886715	Taeniopygia guttata	microRNA mir-155(MIR155)
ENSTGUG00000006117	100226499	Taeniopygia guttata	transient receptor potential cation channel subfamily C member 5(TRPC5)
ENSTGUG00000006116	100227358	Taeniopygia guttata	bromodomain testis associated(BRDT)
ENSTGUG00000006115	100221110	Taeniopygia guttata	protein phosphatase, Mg2+/Mn2+ dependent 1M(PPM1M)
ENSTGUG00000008777	100226459	Taeniopygia guttata	G-patch domain containing 11(GPATCH11)
ENSTGUG00000007446	100232483	Taeniopygia guttata	aldehyde dehydrogenase family 3 member B1(LOC100232483)
ENSTGUG00000008778	100190050	Taeniopygia guttata	PMS1 homolog 2, mismatch repair system component(PMS2)
ENSTGUG00000008779	100230402	Taeniopygia guttata	centrosomal protein 55(CEP55)
ENSTGUG00000007448	100225073	Taeniopygia guttata	centrosomal protein 135(CEP135)
ENSTGUG00000006119	115495414	Taeniopygia guttata	ribosomal protein S6 kinase B2(RPS6KB2)
ENSTGUG00000007449	100225132	Taeniopygia guttata	kelch like family member 34(KLHL34)
ENSTGUG00000006121	100218701	Taeniopygia guttata	transforming growth factor beta receptor 3(TGFBR3)
ENSTGUG00000008784	100225412	Taeniopygia guttata	staufen double-stranded RNA binding protein 1(STAU1)
ENSTGUG00000007453	100228632	Taeniopygia guttata	cholinergic receptor nicotinic alpha 4 subunit(CHRNA4)
ENSTGUG00000006120	100228378	Taeniopygia guttata	lipase C, hepatic type(LIPC)
ENSTGUG00000008785	100224704	Taeniopygia guttata	myoferlin(MYOF)
ENSTGUG00000007454	100228892	Taeniopygia guttata	TNF receptor superfamily member 13B(TNFRSF13B)
ENSTGUG00000008786	100218878	Taeniopygia guttata	G protein-coupled receptor 155(GPR155)
ENSTGUG00000007455	100226043	Taeniopygia guttata	ubiquitin specific peptidase 22(USP22)
ENSTGUG00000008787	100222496	Taeniopygia guttata	inversin(INVS)
ENSTGUG00000006125	100219404	Taeniopygia guttata	solute carrier family 38 member 2(SLC38A2)
ENSTGUG00000006124	100229879	Taeniopygia guttata	NIMA related kinase 1(NEK1)
ENSTGUG00000007450	100230795	Taeniopygia guttata	connector enhancer of kinase suppressor of Ras 2(CNKSR2)
ENSTGUG00000008782	100230921	Taeniopygia guttata	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)
ENSTGUG00000007451	100225960	Taeniopygia guttata	deoxyribonuclease 1 like 3(DNASE1L3)
ENSTGUG00000006122	100231422	Taeniopygia guttata	component of oligomeric golgi complex 4(COG4)
ENSTGUG00000008783	100225555	Taeniopygia guttata	mitochondrial ribosomal protein L58(MRPL58)
ENSTGUG00000006107	100217622	Taeniopygia guttata	serine/threonine kinase 25(STK25)
ENSTGUG00000007439	100231010	Taeniopygia guttata	glycerophosphodiester phosphodiesterase domain containing 2(GDPD2)
ENSTGUG00000006106	100217714	Taeniopygia guttata	epoxide hydrolase 4(EPHX4)
ENSTGUG00000006104	100218737	Taeniopygia guttata	partner and localizer of BRCA2(PALB2)
ENSTGUG00000008766	100218909	Taeniopygia guttata	collagen type IV alpha 2 chain(COL4A2)
ENSTGUG00000008767	100224084	Taeniopygia guttata	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2(PLOD2)
ENSTGUG00000007436	100222863	Taeniopygia guttata	NADH:ubiquinone oxidoreductase core subunit S8(NDUFS8)
ENSTGUG00000006109	100222268	Taeniopygia guttata	rap1 GTPase-GDP dissociation stimulator 1-like(LOC100222268)
ENSTGUG00000008768	100228614	Taeniopygia guttata	retinol binding protein 4(RBP4)
ENSTGUG00000007437	100229437	Taeniopygia guttata	OTU deubiquitinase with linear linkage specificity like(OTULINL)
ENSTGUG00000006108	100220062	Taeniopygia guttata	cathepsin A(CTSA)
ENSTGUG00000008769	100219705	Taeniopygia guttata	beta-1,4-galactosyltransferase 5(B4GALT5)
ENSTGUG00000007438	100226628	Taeniopygia guttata	GIT ArfGAP 2(GIT2)
ENSTGUG00000006110	100228935	Taeniopygia guttata	RAN binding protein 9(RANBP9)
ENSTGUG00000008773	100228460	Taeniopygia guttata	coiled-coil domain containing 71(CCDC71)
ENSTGUG00000007442	100227610	Taeniopygia guttata	trio Rho guanine nucleotide exchange factor(TRIO)
ENSTGUG00000007443	100221242	Taeniopygia guttata	ST3 beta-galactoside alpha-2,3-sialyltransferase 3(ST3GAL3)
ENSTGUG00000007444	100221822	Taeniopygia guttata	Bardet-Biedl syndrome 10(BBS10)
ENSTGUG00000008776	100222711	Taeniopygia guttata	laminin subunit beta 2(LAMB2)
ENSTGUG00000007445	100218984	Taeniopygia guttata	oxysterol binding protein like 8(OSBPL8)
ENSTGUG00000006114	115495413	Taeniopygia guttata	glycine N-acyltransferase-like protein 3(LOC115495413)
ENSTGUG00000006113	115495410	Taeniopygia guttata	glycine N-acyltransferase-like protein 3(LOC115495410)
ENSTGUG00000008770	100221723	Taeniopygia guttata	secernin 3(SCRN3)
ENSTGUG00000006112	100221581	Taeniopygia guttata	polo like kinase 1(PLK1)
ENSTGUG00000008771	100223171	Taeniopygia guttata	oxysterol binding protein like 9(OSBPL9)
ENSTGUG00000007440	100228325	Taeniopygia guttata	transient receptor potential cation channel subfamily M member 7(TRPM7)
ENSTGUG00000006111	100224777	Taeniopygia guttata	4-hydroxyphenylpyruvate dioxygenase(HPD)
ENSTGUG00000013350	100220181	Taeniopygia guttata	mannosidase alpha class 1A member 2(MAN1A2)
ENSTGUG00000013351	751770	Taeniopygia guttata	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1(HSD3B1)
ENSTGUG00000013351	100227871	Taeniopygia guttata	hydroxyacid oxidase 2(HAO2)
ENSTGUG00000000032	100224299	Taeniopygia guttata	excitatory amino acid transporter 4-like(LOC100224299)
ENSTGUG00000002695	100220501	Taeniopygia guttata	diphthamide biosynthesis 7(DPH7)
ENSTGUG00000001363	100226960	Taeniopygia guttata	PTPRF interacting protein alpha 4(PPFIA4)
ENSTGUG00000012020	100217592	Taeniopygia guttata	REV3 like, DNA directed polymerase zeta catalytic subunit(REV3L)
ENSTGUG00000002694	101233675	Taeniopygia guttata	MAX dimerization protein MLX(MLX)
ENSTGUG00000000034	100223139	Taeniopygia guttata	SMAD family member 7(SMAD7)
ENSTGUG00000002697	100232147	Taeniopygia guttata	ATP binding cassette subfamily E member 1(ABCE1)
ENSTGUG00000001365	100223863	Taeniopygia guttata	PDZ and LIM domain 4(PDLIM4)
ENSTGUG00000000035	100219344	Taeniopygia guttata	dymeclin(DYM)
ENSTGUG00000002696	105759169	Taeniopygia guttata	SAP30-binding protein-like(LOC105759169)
ENSTGUG00000001368	100224799	Taeniopygia guttata	oleoyl-ACP hydrolase(OLAH)
ENSTGUG00000002699	100219590	Taeniopygia guttata	mitochondrial ribosomal protein L41(MRPL41)
ENSTGUG00000000037	100221396	Taeniopygia guttata	cell division cycle 23(CDC23)
ENSTGUG00000000038	100221382	Taeniopygia guttata	lon peptidase 1, mitochondrial(LONP1)
ENSTGUG00000001369	100218092	Taeniopygia guttata	solute carrier family 22 member 5(LOC100218092)
ENSTGUG00000000039	100217698	Taeniopygia guttata	hypoxia up-regulated 1(HYOU1)
ENSTGUG00000012018	100227921	Taeniopygia guttata	NIPA like domain containing 2(NIPAL2)
ENSTGUG00000012017	100218103	Taeniopygia guttata	solute carrier family 25 member 21(SLC25A21)
ENSTGUG00000012016	100223029	Taeniopygia guttata	signal peptide, CUB domain and EGF like domain containing 1(SCUBE1)
ENSTGUG00000012015	100220951	Taeniopygia guttata	paired box 9(PAX9)
ENSTGUG00000001370	100231530	Taeniopygia guttata	carnitine O-octanoyltransferase(CROT)
ENSTGUG00000012013	100226375	Taeniopygia guttata	TRAF3 interacting protein 2(TRAF3IP2)
ENSTGUG00000000040	100218549	Taeniopygia guttata	janus kinase and microtubule interacting protein 2(JAKMIP2)
ENSTGUG00000001373	100224681	Taeniopygia guttata	zinc finger and BTB domain containing 8A(ZBTB8A)
ENSTGUG00000012012	100230088	Taeniopygia guttata	solute carrier family 25 member 15(SLC25A15)
ENSTGUG00000001372	100227682	Taeniopygia guttata	zinc finger and BTB domain containing 8 opposite strand(ZBTB8OS)
ENSTGUG00000012011	100230734	Taeniopygia guttata	POP1 homolog, ribonuclease P/MRP subunit(POP1)
ENSTGUG00000000042	100229326	Taeniopygia guttata	chondroitin polymerizing factor 2(CHPF2)
ENSTGUG00000013342	100222046	Taeniopygia guttata	sodium channel epithelial 1 subunit alpha(SCNN1A)
ENSTGUG00000013343	100221145	Taeniopygia guttata	F-box protein 40(FBXO40)
ENSTGUG00000013344	100224021	Taeniopygia guttata	karyopherin subunit alpha 1(KPNA1)
ENSTGUG00000013347	100225929	Taeniopygia guttata	cystatin B (stefin B)(CSTB)
